Change Type,Empresa,Código,Título,Revisión,Fecha de emisión,Disciplina,Tipo de documento,Grupo de documento,Clase de documento,Estado,Fase/Área,Creado el,Área Húmeda
NEW,CONSORCIO CONSTRUCTOR PERU - CCP,3152CCP-AH-CC-DA-RFI-007,Detalle de puesta a tierra - sistema de control e instrumentación,0,24/02/2026,ELECTRICA,Solicitud de Información (Request For Informatión),Documentos,Técnicos,Revisión y Respuesta,Construcción,27/02/2026 00:03,3300 - Extracción por Solventes
NEW,CONSORCIO CONSTRUCTOR PERU - CCP,3152CCP-AH-CC-DA-RFI-008,Solicitud de planos sistema protección atmosférica,0,24/02/2026,ELECTRICA,Solicitud de Información (Request For Informatión),Documentos,Técnicos,Revisión y Respuesta,Construcción,27/02/2026 00:04,3300 - Extracción por Solventes
NEW,CONSORCIO CONSTRUCTOR PERU - CCP,3152CCP-AH-CC-DA-RFI-014,Protección atmosférica – sala eléctrica 820-ERP-001,0,17/03/2026,ELECTRICA,Solicitud de Información (Request For Informatión),Documentos,Técnicos,Revisión y Respuesta,Construcción,21/04/2026 15:07,"3820 - Bombeo, Pozas y Tuberías de PLS"
NEW,CONSORCIO CONSTRUCTOR PERU - CCP,3152CCP-AH-CC-DA-RFI-061,Línea eléctrica 23KV para las pozas del área 810/820/830,0,09/05/2026,ELECTRICA,Solicitud de Información (Request For Informatión),Documentos,Técnicos,Para Revisión y Comentarios,Construcción,06/07/2026 22:26,3000 - Área Húmeda - General
NEW,CONSORCIO CONSTRUCTOR PERU - CCP,3152CCP-AH-CC-DA-RFI-065,Definir canalización de bandejas porta cables,0,11/05/2026,ELECTRICA,Solicitud de Información (Request For Informatión),Documentos,Técnicos,Para Revisión y Comentarios,Construcción,06/07/2026 22:39,3500 - Depositación Electrolítica
NEW,CONSORCIO CONSTRUCTOR PERU - CCP,3152CCP-AH-CC-DA-RFI-141,Solicitud de definición de detalle de instalación de luminaria de alumbrado público en poste,0,01/07/2026,ELECTRICA,Solicitud de Información (Request For Informatión),Documentos,Técnicos,Para Revisión y Comentarios,Construcción,05/07/2026 14:09,3300 - Extracción por Solventes
NEW,CONSORCIO CONSTRUCTOR PERU - CCP,3152CCP-AH-CC-DA-RFI-184,Separación de soportes para bandeja área 3000,0,02/08/2026,ELECTRICA,Solicitud de Información (Request For Informatión),Documentos,Técnicos,Para Revisión y Comentarios,Construcción,22/08/2026 15:27,3000 - Área Húmeda - General
NEW,SOUTHERN PERU COPPER CORPORATION SUCURSAL DEL PERÚ,L4P22114-RNC-009,Desarrollo de Ingeniería de Detalle de la disciplina Eléctrica con errores,B,14/04/2026,ELECTRICA,Reporte de No Conformidad,Documentos,Técnicos,Para uso y aplicación,Ingeniería,26/06/2026 09:46,3000 - Área Húmeda - General
NEW,CUMBRA INGENIERÍA S.A.,P22-DA-0300-07-LY-003,DISPOSICIÓN DE EQUIPOS SALA ELÉCTRICA 300-ERS-002 - PLANTA,B,05/12/2025,ELECTRICA,Planos,Planos,Técnicos,Revisado con Comentarios,Ingeniería,05/12/2025 12:56,
NEW,CUMBRA INGENIERÍA S.A.,P22-DA-0300-07-LY-004,DISPOSICIÓN DE EQUIPOS SALA ELÉCTRICA 300-ERS-002 - SECCIONES,B,05/12/2025,ELECTRICA,Planos,Planos,Técnicos,Revisado con Comentarios,Ingeniería,05/12/2025 12:55,
